Date,MSFT_rolling_beta,LMT_rolling_beta
2021-02-17,1.106821204863579,0.8431696922450105
2021-02-18,1.1066693148264801,0.8428261758294302
2021-02-19,1.1061640982417966,0.8422115078824721
2021-02-22,1.105660674059069,0.8411289973310863
2021-02-23,1.1039776047429122,0.8437246071119434
2021-02-24,1.108059930071928,0.8381810569462975
2021-02-25,1.1075428464921548,0.8361226738414222
2021-02-26,1.0979520365221254,0.8353845638630151
2021-03-01,1.098575213106794,0.8311911160989244
2021-03-02,1.0919142234704224,0.8298603202613812
2021-03-03,1.0889309196350256,0.8303563535474496
2021-03-04,1.0891787600550888,0.8179637553324047
2021-03-05,1.0928840185356699,0.8123602235874738
2021-03-08,1.0921359169303804,0.8133325424063341
2021-03-09,1.1061731672603674,0.7983996206154624
2021-03-10,1.0986532056454739,0.7959233796570617
2021-03-11,1.1044880522819278,0.8013113189922416
2021-03-12,1.1168458348812627,0.7488225923906405
2021-03-15,1.0727722787225544,0.7610581735784834
2021-03-16,1.0389885435829926,0.7053364628089318
2021-03-17,1.0208993219079985,0.6492460110511071
2021-03-18,1.0367517891526348,0.7130531050482954
2021-03-19,1.036242723733385,0.7241794709794783
2021-03-22,1.0412028554914097,0.6942445239156794
2021-03-23,1.0445368155718364,0.6804731324166574
2021-03-24,1.055401399180308,0.7106333493220012
2021-03-25,1.0576018691493985,0.6937775501584805
2021-03-26,1.0592915983293993,0.6295370317011195
2021-03-29,1.056187176097275,0.6388451250062607
2021-03-30,1.0337669133537237,0.6504305327648287
2021-03-31,1.0345305425587255,0.6435135024348095
2021-04-01,1.0499047211158579,0.6725009559412968
2021-04-05,1.0537449909971965,0.6620780986732134
2021-04-06,1.0574966116051026,0.6628658378170226
2021-04-07,1.0573460051629522,0.656055463025539
2021-04-08,1.0573463374020244,0.6547129685749128
2021-04-09,1.0792187493779803,0.6579733351709803
2021-04-12,1.0852886322803958,0.6515610186167063
2021-04-13,1.0891768822666035,0.6524988335628682
2021-04-14,1.0776648849080686,0.6452165206686343
2021-04-15,1.0867286375131844,0.6449073988329465
2021-04-16,1.084079607199899,0.6442420787761981
2021-04-19,1.098131962247078,0.611153570224862
2021-04-20,1.0944056785522558,0.5957674710467173
2021-04-21,1.0869553946348007,0.588464973125439
2021-04-22,1.0826904772617443,0.5885258029336328
2021-04-23,1.083059657549236,0.5841302517519786
2021-04-26,1.0818377051509125,0.58105484916958
2021-04-27,1.0911775371191383,0.5885292204611773
2021-04-28,1.089658820932728,0.5920744202100742
2021-04-29,1.0781995457015003,0.5997783502054792
2021-04-30,1.0850650711228647,0.6022647172559747
2021-05-03,1.090688765816764,0.6060443233711625
2021-05-04,1.0905914490041986,0.6034052159721741
2021-05-05,1.0906862176840768,0.5984561989339526
2021-05-06,1.0948521529452484,0.5929985658356889
2021-05-07,1.0981722939924752,0.5980674695195877
2021-05-10,1.108359738969289,0.5937506958873723
2021-05-11,1.1078316529181187,0.5958093356817107
2021-05-12,1.1105721387803271,0.5978045910499145
2021-05-13,1.116132440672479,0.5970651452918657
2021-05-14,1.1192794812580036,0.6041795138982884
2021-05-17,1.1193273731292275,0.6027940530552445
2021-05-18,1.1444567575393763,0.5768165551069591
2021-05-19,1.145265666266323,0.5735758050850897
2021-05-20,1.1488979447950205,0.5914623348519347
2021-05-21,1.1482494900068394,0.5976298834089089
2021-05-24,1.151444061294823,0.5965820533861481
2021-05-25,1.1585696011899695,0.5962932676064565
2021-05-26,1.1651183575584843,0.5699786858142903
2021-05-27,1.16519859982405,0.571417994266898
2021-05-28,1.164640482057338,0.5746446733801812
2021-06-01,1.1658888896305382,0.5747491721296484
2021-06-02,1.1654219565140738,0.5750367619019389
2021-06-03,1.170918551186168,0.5626173432671344
2021-06-04,1.1720687284061544,0.5665792958479584
2021-06-07,1.1764216815400186,0.5634338875985628
2021-06-08,1.1800861167290024,0.5625972095692187
2021-06-09,1.1848655317627015,0.5602070654981417
2021-06-10,1.1955958763375398,0.5585099332980215
2021-06-11,1.234653951464622,0.5233297213330127
2021-06-14,1.2378177372487729,0.5281375977031021
2021-06-15,1.2403682931461115,0.5370877124363728
2021-06-16,1.2387483857624177,0.5296781970525415
2021-06-17,1.2399242466467608,0.5299550799657572
2021-06-18,1.2346121490950897,0.5314570351402375
